Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,19.370001,19.620001,19.330000,19.559999,19.559999,9502
2021-10-06,19.379999,19.610001,19.370001,19.540001,19.540001,5823
2021-10-07,19.860001,19.860001,19.400000,19.400000,19.400000,5959
2021-10-08,19.400000,19.559999,19.340000,19.360001,19.360001,10737
2021-10-12,18.980000,19.020000,18.680000,18.969999,18.969999,6248
2021-10-13,19.129999,19.129999,19.000000,19.049999,19.049999,4795
2021-10-14,19.219999,19.330000,19.219999,19.250000,19.250000,6814
2021-10-15,19.290001,19.290001,18.930000,19.059999,19.059999,14439
2021-10-18,19.299999,19.690001,19.240000,19.680000,19.680000,44530
2021-10-19,19.950001,20.030001,19.809999,19.889999,19.889999,86308
2021-10-20,20.129999,20.129999,19.940001,19.959999,19.959999,22088
2021-10-21,19.980000,20.059999,19.840000,20.040001,20.040001,19620
2021-10-22,19.190001,19.320000,18.840000,19.049999,19.049999,107858
2021-10-25,18.780001,19.290001,18.760000,19.240000,19.240000,52787
2021-10-26,19.260000,19.350000,18.180000,18.549999,18.549999,84853
2021-10-27,18.420000,18.549999,18.320000,18.320000,18.320000,52787
2021-10-28,18.360001,19.000000,18.110001,18.549999,18.549999,109474
2021-10-29,18.790001,19.100000,18.770000,18.940001,18.940001,53493
2021-11-01,19.190001,19.540001,19.129999,19.350000,19.350000,46526
2021-11-02,19.440001,19.570000,19.000000,19.240000,19.240000,25656
2021-11-03,19.090000,19.480000,19.080000,19.480000,19.480000,28665
2021-11-04,19.610001,19.760000,19.510000,19.660000,19.660000,54687
2021-11-05,20.000000,20.320000,19.950001,20.020000,20.020000,86637
2021-11-08,20.230000,20.230000,19.870001,19.879999,19.879999,45441
2021-11-09,19.940001,20.010000,19.639999,19.660000,19.660000,43238
2021-11-10,19.500000,19.500000,19.100000,19.209999,19.209999,26942
2021-11-11,19.360001,19.420000,19.180000,19.190001,19.190001,16124
2021-11-12,19.379999,20.020000,19.379999,19.980000,19.980000,65731
