Date,Open,High,Low,Close,Adj Close,Volume
2021.10.5,19.370001,19.620001,19.33,19.559999,19.559999,9502
2021.10.6,19.379999,19.610001,19.370001,19.540001,19.540001,5823
2021.10.7,19.860001,19.860001,19.4,19.4,19.4,5959
2021.10.8,19.4,19.559999,19.34,19.360001,19.360001,10737
2021.10.12,18.98,19.02,18.68,18.969999,18.969999,6248
2021.10.13,19.129999,19.129999,19,19.049999,19.049999,4795
2021.10.14,19.219999,19.33,19.219999,19.25,19.25,6814
2021.10.15,19.290001,19.290001,18.93,19.059999,19.059999,14439
2021.10.18,19.299999,19.690001,19.24,19.68,19.68,44530
2021.10.19,19.950001,20.030001,19.809999,19.889999,19.889999,86308
2021.10.20,20.129999,20.129999,19.940001,19.959999,19.959999,22088
2021.10.21,19.98,20.059999,19.84,20.040001,20.040001,19620
2021.10.22,19.190001,19.32,18.84,19.049999,19.049999,107858
2021.10.25,18.780001,19.290001,18.76,19.24,19.24,52787
2021.10.26,19.26,19.35,18.18,18.549999,18.549999,84853
2021.10.27,18.42,18.549999,18.32,18.32,18.32,52787
2021.10.28,18.360001,19,18.110001,18.549999,18.549999,109474
2021.10.29,18.790001,19.1,18.77,18.940001,18.940001,53493
2021.11.1,19.190001,19.540001,19.129999,19.35,19.35,46526
2021.11.2,19.440001,19.57,19,19.24,19.24,25656
2021.11.3,19.09,19.48,19.08,19.48,19.48,28665
2021.11.4,19.610001,19.76,19.51,19.66,19.66,54687
2021.11.5,20,20.32,19.950001,20.02,20.02,86637
2021.11.8,20.23,20.23,19.870001,19.879999,19.879999,45441
2021.11.9,19.940001,20.01,19.639999,19.66,19.66,43238
2021.11.10,19.5,19.5,19.1,19.209999,19.209999,26942
2021.11.11,19.360001,19.42,19.18,19.190001,19.190001,16124
2021.11.12,19.379999,20.02,19.379999,19.98,19.98,65731
